text,num,parsed
……窓の前に駈け寄って、磨硝子の平面を覗いた。そこに映った自分の容貌《かおかたち》を見て、何かの記憶を喚《よ》び起そうとした。……しかし、それは何にもならなかった。磨硝子の表面には、髪の毛のモジャモジャした悪鬼のような、私自身の影法師しか映らなかった。,0.22573240718714746,"窓,前,駈ける,寄る,磨,硝子,平面,覗く,そこ,映る,自分,容貌,かお,かたち,見る,何,記憶,喚,び,起す,する,それ,何,なる,磨,硝子,表面,髪の毛,もじゃもじゃ,する,悪鬼,よう,私自身,影法師,映る"
私は身を飜《ひるがえ》して寝台の枕元に在る入口の扉《ドア》に駈け寄った。鍵穴だけがポツンと開いている真鍮《しんちゅう》の金具に顔を近付けた。けれどもその金具の表面は、私の顔を写さなかった。只、黄色い薄暗い光りを反射するばかりであった。,2.0784160844181163,"私,身,飜,ひる,する,寝台,枕元,在る,入口,扉,ドア,駈ける,寄る,鍵,穴,開く,いる,真鍮,しん,ちゅ,金具,顔,近付ける,金具,表面,私,顔,写す,只,光る,反射,する"
……寝台の脚を探しまわった。寝具を引っくり返してみた。着ている着物までも帯を解いて裏返して見たけれども、私の名前は愚《おろ》か、頭文字らしいものすら発見し得なかった。,0.3732743218885034,"寝台,脚,探す,まわる,寝具,引っくり返す,みる,着る,いる,着物,帯,解く,裏返す,見る,私,名前,愚,ろ,頭文字,もの,発見,する,得る"
私は呆然となった。私は依然として未知の世界に居る未知の私であった。私自身にも誰だかわからない私であった。,-1.084864430730683,"私,なる,私,未知,世界,居る,未知,私,私自身,誰だ,わかる,私"
こう考えているうちに、私は、帯を引きずったまま、無限の空間を、ス——ッと垂直に、どこへか落ちて行くような気がしはじめた。臓腑《はらわた》の底から湧き出して来る戦慄《せんりつ》と共に、我を忘れて大声をあげた。,-0.19244067889767855,"考える,いる,うち,私,帯,引きずる,まま,無限,空間,ス,ッ,垂直,どこ,落ちる,行く,よう,気,する,はじめる,臓腑,はらわた,底,湧く,出す,来る,戦慄,せんりつ,我,忘れる,大声,あげる"
それは金属性を帯びた、突拍子《とっぴょうし》もない甲高《かんだか》い声であった……が……その声は私に、過去の何事かを思い出させる間もないうちに、四方のコンクリート壁に吸い込まれて、消え失せてしまった。,1.0704865974543691,"それ,金属,性,帯びる,突拍子,とっぴょうし,甲高,かむ,い,声,声,私,過去,何事,思い出す,せる,間,うち,四方,コンクリート,壁,吸い込む,れる,消え失せる,しまう"
又叫んだ。……けれども矢張《やは》り無駄であった。その声が一しきり烈《はげ》しく波動して、渦巻いて、消え去ったあとには、四つの壁と、三つの窓と、一つの扉が、いよいよ厳粛に静まり返っているばかりである。,-0.2483891494749943,"叫ぶ,矢張,や,無駄,声,烈,はげ,しく,波動,する,渦巻く,消え去る,あと,四つ,壁,三つ,窓,一つ,扉,厳粛,静まり返る,いる"
又叫ぼうとした。……けれどもその声は、まだ声にならないうちに、咽喉《のど》の奥の方へ引返してしまった。叫ぶたんびに深まって行く静寂の恐ろしさ……。,0.7359876985897134,"叫ぶ,する,声,声,なる,うち,咽喉,のど,奥,方,引返す,しまう,叫ぶ,たんび,深まる,行く,静寂,さ,…。"
奥歯がガチガチと音を立てはじめた。膝頭《ひざがしら》が自然とガクガクし出した。それでも自分自身が何者であったかを思い出し得ない……その息苦しさ。,0.21290733297170936,"奥歯,ガチガチ,音,立てる,はじめる,膝頭,膝頭,自然,ガクガク,する,出す,自分自身,何者,思い出す,得る,さ"
私は、いつの間にか喘《あえ》ぎ初めていた。叫ぼうにも叫ばれず、出ようにも出られぬ恐怖に包まれて、部屋の中央《まんなか》に棒立ちになったまま喘いでいた。,1.4917618741672685,"私,喘,あう,ぎ,いる,叫ぶ,叫ぶ,れる,出る,よう,出る,られる,恐怖,包む,れる,部屋,中央,まんなか,棒立ち,なる,まま,喘ぐ,いる"
……ここは監獄か……精神病院か……。,-1.7790979095150643,"ここ,監獄,精神病院,…。"
そう思えば思うほど高まる呼吸の音が、凩《こがらし》のように深夜の四壁に反響するのを聞いていた。,-1.027913554574602,"思う,思う,高まる,呼吸,音,凩,小柄,する,よう,深夜,四壁,反響,する,の,聞く,いる"
そのうちに私は気が遠くなって来た。眼の前がズウ——と真暗くなって来た。そうして棒のように強直《ごうちょく》した全身に、生汗をビッショリと流したまま仰向《あおむ》け様《ざま》にスト——ンと、倒れそうになったので、吾知らず観念の眼を閉じた……と思ったが……又、ハッと機械のように足を踏み直した。両眼をカッと見開いて、寝台の向側の混凝土《コンクリート》壁を凝視した。,0.2812743448490672,"うち,私,気,なる,来る,眼,前,ズウ,真,なる,来る,棒,よう,強直,剛直,する,全身,汗,流す,まま,仰向け,あおむ,様,ざま,スト,ン,倒れる,そう,なる,吾,知らず,観念,眼,閉じる,思う,機械,よう,足,踏む,直す,眼,見開く,寝台,向う側,混凝,土,コンクリート,壁,凝視,する"
その混凝土壁の向側から、奇妙な声が聞えて来たからであった。,1.6505054287817358,"混凝,土壁,向う側,奇妙,声,聞える,来る"
